latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,cp_code,cp_type,cp_system,cp_short_term,cp_free,cp_night,cp_decks,cp_gantry_height,cp_basement,geometry,dist_to_airfield,airfield,height_score_2020,density_500m,units_per_floor,est_land_use,is_point_block,nearest_train_stn,dist_to_train_stn,dist_to_city_centre
2007-02-23,1949.0,18,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.276280878,103.82979540000001,jrtm,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n,POINT (11558279.95309778 142086.68824615),12839,paya lebar air base,-7.18,40,5.75,441.875,0,TIONG BAHRU MRT STATION,1139,2562
1996-02-08,1970.0,72,redhill rd,10,bm,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.287405027,103.81639200000001,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11556787.89343488 143325.3328226457),13121,paya lebar air base,-4.46,68,9.2,303.6,0,REDHILL MRT STATION,243,3919
1998-10-07,1970.0,24,jln membina barat / lower delta rd,12,bm,102.0,0.0,4.0,97.0,0.0,1.0,0.0,0.0,1,1.2826343759999999,103.8255958,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11557812.45576424 142794.1327892675),12680,paya lebar air base,-7.97,78,8.5,528.2916666666666,0,TIONG BAHRU MRT STATION,424,2883
1998-10-07,1970.0,31,jln membina barat / lower delta rd,12,bm,102.0,0.0,4.0,97.0,0.0,1.0,0.0,0.0,1,1.285697429,103.8267854,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11557944.88143049 143135.195950639),12354,paya lebar air base,-4.56,105,8.5,528.2916666666666,0,TIONG BAHRU MRT STATION,61,2751
1998-10-07,1972.0,32,jln membina barat / lower delta rd,12,bm,121.0,0.0,3.0,109.0,8.0,1.0,0.0,0.0,1,1.282908655,103.82486800000001,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11557731.43743885 142824.6730416959),12719,paya lebar air base,-7.47,72,10.083333333333334,647.4166666666666,0,TIONG BAHRU MRT STATION,435,2962
1998-10-07,1964.0,102,lower delta rd,12,bm,97.0,0.0,16.0,78.0,3.0,0.0,0.0,0.0,1,1.281214142,103.82303950000001,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11557527.88974993 142635.9934839949),12996,paya lebar air base,-5.47,57,8.083333333333334,482.75,0,TIONG BAHRU MRT STATION,707,3179
1998-10-07,1964.0,103,lower delta rd,12,bm,97.0,0.0,16.0,78.0,3.0,0.0,0.0,0.0,1,1.28875833,103.82573459999999,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11557827.90690956 143476.0199010721),12220,paya lebar air base,-6.29,63,8.083333333333334,482.75,0,TIONG BAHRU MRT STATION,318,2908
2007-02-23,1952.0,23,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.277276965,103.8310934,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n,POINT (11558424.44579683 142197.5996806432),12660,paya lebar air base,-9.35,31,5.75,441.875,0,OUTRAM PARK MRT STATION,983,2390
1996-04-30,1969.0,6a,margaret dr,16,qt,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1,1.2983310959999999,103.80451590000001,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n,POINT (11555465.85203027 144541.926975667),13538,paya lebar air base,7.2,30,6.75,421.875,0,QUEENSTOWN MRT STATION,413,5455
2001-02-17,1971.0,172,stirling rd,12,qt,97.0,0.0,3.0,90.0,3.0,1.0,0.0,0.0,1,1.291614775,103.8050527,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n,POINT (11555525.60833293 143794.0785380575),13879,paya lebar air base,-5.24,50,8.083333333333334,510.9583333333333,0,QUEENSTOWN MRT STATION,371,5230
