year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
1973.0,5,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,HDB-TAMAN JURONG,160,YUNG PING ROAD,HDB-TAMAN JURONG,160 YUNG PING ROAD HDB-TAMAN JURONG SINGAPORE 610160,610160,15555.9640245866,34594.2932338417,1.32913047297776,103.721502089885,103.721502089885
1973.0,6,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,NIL,,YUNG PING ROAD,NIL,NIL,NIL,15682.806701891599,34654.5639478024,1.32967559060418,103.722641815208,103.722641815208
1973.0,7,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,HDB-TAMAN JURONG,160,YUNG PING ROAD,HDB-TAMAN JURONG,160 YUNG PING ROAD HDB-TAMAN JURONG SINGAPORE 610160,610160,15555.9640245866,34594.2932338417,1.32913047297776,103.721502089885,103.721502089885
1973.0,8,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,HDB-TAMAN JURONG,160,YUNG PING ROAD,HDB-TAMAN JURONG,160 YUNG PING ROAD HDB-TAMAN JURONG SINGAPORE 610160,610160,15555.9640245866,34594.2932338417,1.32913047297776,103.721502089885,103.721502089885
1973.0,9,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,PCF SPARKLETOTS PRESCHOOL @ TAMAN JURONG 161 (CC),161,YUNG PING ROAD,PCF SPARKLETOTS PRESCHOOL @ TAMAN JURONG 161 (CC),161 YUNG PING ROAD PCF SPARKLETOTS PRESCHOOL @ TAMAN JURONG 161 (CC) SINGAPORE 610161,610161,15555.057286598701,34644.0056124441,1.3295800528928101,103.721493922129,103.721493922129
1973.0,10,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,HDB-TAMAN JURONG,163,YUNG PING ROAD,HDB-TAMAN JURONG,163 YUNG PING ROAD HDB-TAMAN JURONG SINGAPORE 610163,610163,15674.3168956749,34694.3944804817,1.33003579972897,103.722565513663,103.722565513663
1976.0,180,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,BOON LAY MEADOW,180,BOON LAY DRIVE,BOON LAY MEADOW,180 BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 640180,640180,14073.1341099497,36689.8821038567,1.3480815464086202,103.70817710905001,103.70817710905001
1976.0,181,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,181 BOON LAY DRIVE SINGAPORE 640181,181,BOON LAY DRIVE,NIL,181 BOON LAY DRIVE SINGAPORE 640181,640181,14026.1783879651,36726.1675443444,1.3484096763794198,103.70775516682501,103.70775516682501
1976.0,182,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,BOON LAY CREST,257A,BOON LAY DRIVE,BOON LAY CREST,257A BOON LAY DRIVE BOON LAY CREST SINGAPORE 641257,641257,14004.9727293774,36458.255238544196,1.345986768687,103.707564745441,103.707564745441
1976.0,184,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1,SUMMERDALE,2,BOON LAY DRIVE,SUMMERDALE,2 BOON LAY DRIVE SUMMERDALE SINGAPORE 649925,649925,14468.954616885601,36074.5606609788,1.34251699185774,103.711734070194,103.711734070194
1975.0,216,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1,BOON LAY VIEW,216,BOON LAY AVENUE,BOON LAY VIEW,216 BOON LAY AVENUE BOON LAY VIEW SINGAPORE 640216,640216,14465.4733447377,36866.592131840094,1.34967982522128,103.71170243402099,103.71170243402099
1975.0,217,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1,BOON LAY VIEW,217,BOON LAY AVENUE,BOON LAY VIEW,217 BOON LAY AVENUE BOON LAY VIEW SINGAPORE 640217,640217,14389.560303268001,36844.7901939712,1.34948262227609,103.71102031899099,103.71102031899099
1975.0,219,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1,BOON LAY VIEW,219,BOON LAY AVENUE,BOON LAY VIEW,219 BOON LAY AVENUE BOON LAY VIEW SINGAPORE 640219,640219,14367.221441636799,36835.188251228996,1.3493957757550001,103.71081959508801,103.71081959508801
1975.0,220,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1,BOON LAY GROVE,183,BOON LAY AVENUE,BOON LAY GROVE,183 BOON LAY AVENUE BOON LAY GROVE SINGAPORE 640183,640183,14204.3906462481,36820.6028968431,1.34926379671314,103.70935646820699,103.70935646820699
1973.0,88,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1,14 ZION ROAD SINGAPORE 247732,14,ZION ROAD,NIL,14 ZION ROAD SINGAPORE 247732,247732,27705.6997377081,30745.9031335302,1.29432953718611,103.830674164813,103.830674164813
1973.0,89,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1,16 ZION ROAD SINGAPORE 247733,16,ZION ROAD,NIL,16 ZION ROAD SINGAPORE 247733,247733,27708.660339998998,30738.3955536541,1.29426164130111,103.83070076716801,103.83070076716801
1973.0,90,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1,14 ZION ROAD SINGAPORE 247732,14,ZION ROAD,NIL,14 ZION ROAD SINGAPORE 247732,247732,27705.6997377081,30745.9031335302,1.29432953718611,103.830674164813,103.830674164813
1973.0,91,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1,56 ZION ROAD SINGAPORE 247781,56,ZION ROAD,NIL,56 ZION ROAD SINGAPORE 247781,247781,27756.5636920175,30572.720960121602,1.2927633389269197,103.83113120067,103.83113120067
1973.0,92,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1,54 ZION ROAD SINGAPORE 247779,54,ZION ROAD,NIL,54 ZION ROAD SINGAPORE 247779,247779,27756.0229847562,30589.8740081023,1.29291846505991,103.831126342052,103.831126342052
1976.0,246,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,509,ANG MO KIO AVENUE 2,HORIZON GARDENS,509 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567910,567910,28122.535426810402,39917.866890208796,1.37727752619762,103.8344196492,103.8344196492
1976.0,247,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1,HORIZON GARDENS,509,ANG MO KIO AVENUE 2,HORIZON GARDENS,509 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 567910,567910,28122.535426810402,39917.866890208796,1.37727752619762,103.8344196492,103.8344196492
