year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished
1977.0,401,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,402,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,403,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,404,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,407,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,408,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1977.0,409,clementi ave 1,cl,13.0,0.0,0.0,113.85714285714286,51.42857142857143,1.1428571428571428,1.2857142857142858,167.71428571428572,30.0,"['401', '402', '403', '404', '407', '408', '409']",7.0,1
1976.0,2,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,3,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,4,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,5,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,6,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,7,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,8,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,9,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,10,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1976.0,11,teban gardens rd,je,14.67,0.0,0.0,67.2,12.0,12.5,0.0,91.7,31.0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10.0,1
1964.0,74,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,75,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,76,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,77,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,78,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,79,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1964.0,80,commonwealth dr,qt,10.0,0.0,0.0,94.14285714285714,1.4285714285714286,0.0,0.0,95.57142857142857,44.0,"['74', '75', '76', '77', '78', '79', '80']",7.0,1
1973.0,110,bukit merah view,bm,15.0,0.0,0.0,25.5,48.0,0.5,0.0,74.0,36.0,"['110', '111', '113', '114']",4.0,1
1973.0,111,bukit merah view,bm,15.0,0.0,0.0,25.5,48.0,0.5,0.0,74.0,36.0,"['110', '111', '113', '114']",4.0,1
1973.0,113,bukit merah view,bm,15.0,0.0,0.0,25.5,48.0,0.5,0.0,74.0,36.0,"['110', '111', '113', '114']",4.0,1
1973.0,114,bukit merah view,bm,15.0,0.0,0.0,25.5,48.0,0.5,0.0,74.0,36.0,"['110', '111', '113', '114']",4.0,1
1977.0,321,clementi ave 5,cl,10.0,0.0,0.0,97.0,27.0,0.6666666666666666,0.0,124.66666666666667,34.0,"['321', '322', '323']",3.0,1
1977.0,322,clementi ave 5,cl,10.0,0.0,0.0,97.0,27.0,0.6666666666666666,0.0,124.66666666666667,34.0,"['321', '322', '323']",3.0,1
