latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1949,28,tiong bahru rd,4,bm,12,0,0,12,0,0,0,0,0,HDB-BUKIT MERAH,28,TIONG BAHRU ROAD,HDB-BUKIT MERAH,28 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 163028,163028,27674.20269,29791.40405,1.285697382,103.83039120000001,103.83039120000001
2020-04-24,1949,22,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,22,TIONG BAHRU ROAD,HDB-BUKIT MERAH,22 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 165022,165022,27821.173489999997,29791.63627,1.285699484,103.83171180000001,103.83171180000001
2020-04-24,1949,37,lim liak st,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,37,LIM LIAK STREET,HDB-BUKIT MERAH,37 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 160037,160037,27685.606089999997,29723.63077,1.285084465,103.8304936,103.8304936
2020-04-24,1949,50,moh guan ter,4,bm,22,0,0,20,2,0,0,0,0,HDB-BUKIT MERAH,50,MOH GUAN TERRACE,HDB-BUKIT MERAH,50 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 161050,161050,27689.154169999998,29612.5456,1.28407985,103.83052550000001,103.83052550000001
2020-04-24,1949,41,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,41,KIM CHENG STREET,HDB-BUKIT MERAH,41 KIM CHENG STREET HDB-BUKIT MERAH SINGAPORE 160041,160041,27807.725660000004,29680.08973,1.284690696,103.83159090000001,103.83159090000001
2020-04-24,1949,20,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,20,TIONG BAHRU ROAD,HDB-BUKIT MERAH,20 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 163020,163020,27870.0331,29797.7524,1.285754796,103.8321508,103.8321508
2020-04-24,1949,18,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,18,TIONG BAHRU ROAD,HDB-BUKIT MERAH,18 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 163018,163018,27919.182460000004,29794.765219999997,1.2857277809999998,103.83259240000001,103.83259240000001
2020-04-24,1949,35,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,35,LIM LIAK STREET,HDB-BUKIT MERAH,35 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 160035,160035,27745.87643,29725.544130000002,1.285101769,103.8310352,103.8310352
2020-04-24,1949,43,moh guan ter,4,bm,15,0,6,8,1,0,0,0,0,HDB-BUKIT MERAH,43,MOH GUAN TERRACE,HDB-BUKIT MERAH,43 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 160043,160043,27747.448910000003,29677.86397,1.284670567,103.8310493,103.8310493
2020-04-24,1949,42,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,42,KIM CHENG STREET,HDB-BUKIT MERAH,42 KIM CHENG STREET HDB-BUKIT MERAH SINGAPORE 161042,161042,27808.62208,29651.768610000003,1.28443457,103.831599,103.831599
2020-04-24,1949,26,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,26,TIONG BAHRU ROAD,HDB-BUKIT MERAH,26 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 164026,164026,27723.270360000002,29788.437789999996,1.285670557,103.8308321,103.8308321
2020-04-24,1949,27,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,27,LIM LIAK STREET,HDB-BUKIT MERAH,27 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 160027,160027,27724.081639999997,29762.616869999998,1.285437042,103.8308393,103.8308393
2020-04-24,1949,47,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0,HDB-BUKIT MERAH,47,MOH GUAN TERRACE,HDB-BUKIT MERAH,47 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 160047,160047,27749.015580000003,29626.474319999998,1.2842058170000001,103.8310634,103.8310634
2020-04-24,1949,25,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,25,LIM LIAK STREET,HDB-BUKIT MERAH,25 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 161025,161025,27773.226580000002,29759.60572,1.28540981,103.8312809,103.8312809
2020-04-24,1949,23,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,23,LIM LIAK STREET,HDB-BUKIT MERAH,23 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 161023,161023,27822.022139999997,29765.74682,1.285465349,103.8317194,103.8317194
