latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished
2020-04-24,1964,112,c'wealth cres,10,qt,76,0,9,62,4,0,0,1,0
2020-04-24,1964,82,c'wealth cl,16,qt,253,0,58,188,3,0,0,4,0
2020-04-24,1964,50,circuit rd,10,gl,116,0,0,112,4,0,0,0,0
2020-04-24,1964,49,tanglin halt rd,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1964,5,jln minyak,12,ct,143,0,0,0,0,0,0,143,0
2020-04-24,1964,93,c'wealth dr,10,qt,97,0,9,85,3,0,0,0,0
2020-04-24,1964,97,c'wealth cres,10,qt,98,0,9,87,2,0,0,0,0
2020-04-24,1964,48,tanglin halt rd,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1964,59,circuit rd,10,gl,118,0,0,116,2,0,0,0,0
2020-04-24,1964,106,c'wealth cres,10,qt,99,0,0,0,0,0,0,99,0
2020-04-24,1964,83,c'wealth cl,16,qt,255,0,59,190,1,0,0,5,0
2020-04-24,1964,107,c'wealth cres,10,qt,99,0,0,0,0,0,0,99,0
2020-04-24,1964,67,circuit rd,10,gl,115,0,0,110,5,0,0,0,0
2020-04-24,1964,4,jln minyak,12,ct,156,0,0,0,0,0,0,156,0
2020-04-24,1964,69,circuit rd,10,gl,115,0,0,110,5,0,0,0,0
2020-04-24,1965,34,circuit rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,71,circuit rd,10,gl,100,0,27,14,0,0,0,59,0
2020-04-24,1965,35,circuit rd,16,gl,140,0,0,112,28,0,0,0,0
2020-04-24,1965,118,c'wealth cres,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1965,37,circuit rd,16,gl,570,0,0,95,1,0,0,474,0
2020-04-24,1965,66,circuit rd,10,gl,118,0,29,87,2,0,0,0,0
2020-04-24,1965,36,circuit rd,16,gl,140,0,0,112,28,0,0,0,0
2020-04-24,1965,64,circuit rd,10,gl,104,0,0,100,4,0,0,0,0
2020-04-24,1965,65,circuit rd,10,gl,106,0,0,104,2,0,0,0,0
2020-04-24,1965,92,c'wealth dr,10,qt,98,0,9,86,2,0,0,1,0
2020-04-24,1965,40,circuit rd,10,gl,117,0,30,84,3,0,0,0,0
2020-04-24,1965,89,c'wealth dr,10,qt,98,0,10,85,2,0,0,1,0
2020-04-24,1965,68,circuit rd,10,gl,120,0,36,18,0,0,0,66,0
2020-04-24,1965,30,balam rd,10,gl,115,0,27,83,5,0,0,0,0
2020-04-24,1965,23,balam rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,117,c'wealth dr,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1965,72,circuit rd,10,gl,100,0,36,15,0,0,0,49,0
2020-04-24,1965,51,circuit rd,10,gl,100,0,26,16,0,0,0,58,0
2020-04-24,1965,52,circuit rd,10,gl,120,0,22,19,0,0,0,79,0
2020-04-24,1965,39,circuit rd,10,gl,118,0,29,87,2,0,0,0,0
2020-04-24,1965,62,circuit rd,10,gl,118,0,29,87,2,0,0,0,0
2020-04-24,1965,63,circuit rd,10,gl,119,0,29,88,1,0,0,1,0
2020-04-24,1965,19,balam rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,94,c'wealth dr,10,qt,98,0,10,86,2,0,0,0,0
2020-04-24,1965,22,balam rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,70,circuit rd,10,gl,120,0,37,20,0,0,0,63,0
2020-04-24,1965,38,circuit rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,24,balam rd,10,gl,120,0,0,120,0,0,0,0,0
2020-04-24,1965,32,balam rd,10,gl,118,0,29,86,2,0,0,1,0
2020-04-24,1965,90,c'wealth dr,10,qt,95,0,9,81,5,0,0,0,0
2020-04-24,1965,20,balam rd,10,gl,120,0,0,120,0,0,0,0,0
