latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,car_park_no,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
2001-02-17,1971.0,175,stirling rd,12,queenstown,97.0,0.0,3.0,90.0,3.0,1.0,0.0,0.0,1,1.292996047,103.8056656,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2005-04-21,1974.0,15,holland ave / dr,20,qt,142.0,0.0,0.0,86.0,50.0,6.0,0.0,0.0,1,1.31070815,103.7955773,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2005-12-29,1969.0,39a,c'wealth ave,11,queenstown,142.0,0.0,0.0,141.0,0.0,1.0,0.0,0.0,1,1.311527153,103.7705036,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1996-04-30,1969.0,6b,margaret dr,16,queenstown,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1,1.298033809,103.80494509999998,q15,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2005-04-21,1974.0,14,holland ave / dr,20,qt,142.0,0.0,0.0,86.0,50.0,6.0,0.0,0.0,1,1.310555452,103.7955411,q15,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1996-04-30,1956.0,39,forfar house,14,queenstown,106.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,1,1.293335605,103.8076139,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
2003-01-13,1962.0,50,tanglin halt,10,queenstown,114.0,0.0,28.0,79.0,6.0,0.0,0.0,1.0,1,1.3004269309999998,103.7973598,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
2003-01-13,1962.0,51,tanglin halt,10,queenstown,116.0,0.0,27.0,83.0,4.0,0.0,0.0,2.0,1,1.29895181,103.7985417,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
2005-04-21,1974.0,16,holland ave / dr,20,qt,142.0,0.0,0.0,86.0,50.0,6.0,0.0,0.0,1,1.307555926,103.7944436,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
2005-12-29,1969.0,6c,margaret dr,11,queenstown,169.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,1,1.297960614,103.8053687,q65a,surface car park,coupon parking,7am-10.30pm,sun & ph fr 7am-10.30pm,no,0,0.0,n
