year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,latitude_x,longitude_x,geometry_x,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,geometry_y,latitude_y,longitude_y,new_address
1977.0,56,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.3189959054998,103.87588749873699,POINT (11563410.90205877 146842.9232337989),SD2,blk 45  /  50  /  51 sims dr,33013.2144,33244.1573,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,POINT (11563686.68113479 146612.0472137279),1.3169224596017053,103.87836486432721,blk 45 / 50 / 51 sims dr
1977.0,57,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.31629232098948,103.878898984422,POINT (11563746.13911176 146541.8819800533),SD2,blk 45  /  50  /  51 sims dr,33013.2144,33244.1573,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,POINT (11563686.68113479 146612.0472137279),1.3169224596017053,103.87836486432721,blk 45 / 50 / 51 sims dr
1977.0,60,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.31760231767541,103.877424477655,POINT (11563581.99776928 146687.7486740346),SD2,blk 45  /  50  /  51 sims dr,33013.2144,33244.1573,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,POINT (11563686.68113479 146612.0472137279),1.3169224596017053,103.87836486432721,blk 45 / 50 / 51 sims dr
1977.0,62,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.31900718980146,103.88026357905599,POINT (11563898.04509155 146844.1797294473),SD2,blk 45  /  50  /  51 sims dr,33013.2144,33244.1573,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,POINT (11563686.68113479 146612.0472137279),1.3169224596017053,103.87836486432721,blk 45 / 50 / 51 sims dr
1973.0,5,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.32913047297776,103.721502089885,POINT (11546224.79695946 147971.3994375036),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
1973.0,6,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.32967559060418,103.722641815208,POINT (11546351.67060206 148032.0979920271),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
1973.0,7,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.32913047297776,103.721502089885,POINT (11546224.79695946 147971.3994375036),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
1973.0,8,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.32913047297776,103.721502089885,POINT (11546224.79695946 147971.3994375036),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
1973.0,9,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.32958005289281,103.721493922129,POINT (11546223.88772902 148021.4599182804),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
1973.0,10,yung ping rd,jw,11.0,0.0,0.0,101.66666666666669,0.0,1.5,0.0,103.16666666666669,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1,1.33003579972897,103.722565513663,POINT (11546343.17675292 148072.2070916959),TJ18,blk 63-66 yung kuang rd,15662.8289,34894.8007,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11546331.6766937 148274.0164016115),1.3318481945093785,103.72246220687335,blk 63-66 yung kuang rd 63 64 65 66
